SAMPLE,SMILES,ElasticModulus,Volume_Surface_Ratio,Shape_Normalized,Flexibility_Index,Mass_Density,Polarity_Index,Hydrophobicity_Balance,Refractivity_Efficiency,Connectivity_Density,Topological_Size_Ratio,Surface_Stiffness_Ratio
Polymer_39,CC(C)(C)C(=O)OOC,14.6843333333333,3.61782096906652,9,0.111111111111111,3.9384610799857,3.94777777777778,0.284275,0.244489670243844,0.888888888888889,0,17.765
Polymer_40,CC(C)(C)C(=O)ONC,14.575,3.33524027459954,9,0.111111111111111,3.68399767459495,4.25888888888889,0.14202,0.261824853414034,0.888888888888889,0,19.165
Polymer_41,C=CC(=O)OO,14.677,1.85276667367978,6,0.166666666666667,4.42127142555905,7.755,0.03772,0.212411578450967,0.833333333333333,0,23.265
Polymer_42,C=CC(=O)ON,14.513,1.63312078019505,6,0.166666666666667,4.05459015477454,8.72,-0.08214,0.232480301550898,0.833333333333333,0,26.16
Polymer_43,C=CC(=O)OF,15.0088333333333,3.29864468864469,6,0.166666666666667,4.89498287764309,4.38333333333333,0.200033333333333,0.191064544825541,0.833333333333333,0,13.15
Polymer_44,C=CC(=O)OCl,17.7513333333333,3.90139194139194,6,0.166666666666667,4.60236798893786,4.38333333333333,0.2898,0.205956766008111,0.833333333333333,0,13.15
Polymer_45,C=CC(=O)OC,14.3483333333333,3.15347985347985,6,0.166666666666667,3.70869771248869,4.38333333333333,0.115133333333333,0.255057985991503,0.833333333333333,0,13.15
Polymer_46,C=CC(=O)OCO,14.5841428571429,2.14788554597097,7,0.285714285714286,4.1883010322136,6.64714285714286,-0.06692,0.226743881500451,0.857142857142857,0,15.51
Polymer_47,C=CC(=O)OCN,14.4435714285714,1.89619279819955,7,0.285714285714286,3.83796320900112,7.47428571428571,-0.07364,0.248209196415455,0.857142857142857,0,17.44
Polymer_48,C=CC(=O)OCF,14.8685714285714,3.81245421245421,7,0.285714285714286,4.4738651994498,3.75714285714286,0.2142,0.211876665397792,0.857142857142857,0,8.76666666666667
Polymer_49,C=CC(=O)OOC,14.5841428571429,2.79466192170819,7,0.285714285714286,4.20153922133509,5.07571428571429,0.06925,0.225998894159416,0.857142857142857,0,11.8433333333333
Polymer_50,C=CC(=O)ONC,14.4435714285714,2.57068395626748,7,0.285714285714286,3.83719120867443,5.47571428571429,-0.03,0.248261103765731,0.857142857142857,0,12.7766666666667
Polymer_51,CCOC(=O)CO,14.8721428571429,2.19030086261309,7,0.285714285714286,4.21157175914689,6.64714285714286,-0.09164,0.225667665667666,0.857142857142857,0,15.51
Polymer_52,CCOC(=O)CN,14.7315714285714,1.93400225056264,7,0.285714285714286,3.86403321417598,7.47428571428571,-0.09836,0.246707196434917,0.857142857142857,0,17.44
Polymer_53,CCOC(=O)CF,15.1565714285714,3.88630036630037,7,0.285714285714286,4.49406980684514,3.75714285714286,0.173,0.211100321207141,0.857142857142857,0,8.76666666666667
Polymer_54,CCOC(=O)CCl,17.5072857142857,4.48904761904762,7,0.285714285714286,4.32232920678588,3.75714285714286,0.262766666666667,0.221390357018559,0.857142857142857,0,8.76666666666667
Polymer_55,CCOC(=O)CC,14.5904285714286,3.74113553113553,7,0.285714285714286,3.65753473714368,3.75714285714286,0.319833333333333,0.261060960119457,0.857142857142857,0,8.76666666666667
Polymer_56,CCOC(=O)CCO,14.7665,2.48541973490427,8,0.375,4.02688864800006,5.81625,-0.01362,0.237852130409965,0.875,0,11.6325
Polymer_57,CCOC(=O)CCN,14.6435,2.19707426856714,8,0.375,3.74222154074188,6.54,-0.02034,0.256495243254223,0.875,0,13.08
Polymer_58,CCOC(=O)CCF,15.015375,4.40010989010989,8,0.375,4.25590788308238,3.2875,0.303033333333333,0.224771513255121,0.875,0,6.575
Polymer_59,CCOC(=O)COC,14.7665,3.23383520394197,8,0.375,4.00325324477278,4.44125,0.048975,0.239305979921432,0.875,0,8.8825
Polymer_60,CCOC(=O)CNC,14.6435,2.97859140605136,8,0.375,3.7119490996429,4.79125,-0.04622,0.258656092358736,0.875,0,9.5825
Polymer_61,C(F)(F)C(F)(F)O,16.8612857142857,5.55953838907207,7,0.142857142857143,8.32961650834874,2.89,0.278866666666667,0.110643624662897,0.857142857142857,0,10.115
Polymer_62,C(F)(F)C(F)(F)N,16.7207142857143,4.33179126572909,7,0.142857142857143,7.25257770287017,3.71714285714286,0.267666666666667,0.128242619340082,0.857142857142857,0,13.01
Polymer_63,C(F)(F)C(F)(F)F,17.1457142857143,120.02,7,0,9.1905965234704,0,1.8138,0.0996446868286234,0.857142857142857,0,0
Polymer_64,C(F)(F)C(F)(F)Cl,19.4964285714286,136.475,7,0.142857142857143,7.66541226690632,0,2.0831,0.122233133296963,0.857142857142857,0,0
Polymer_65,C(F)(F)C(F)(F)C,16.5795714285714,116.057,7,0.142857142857143,6.58479432624114,0,1.9067,0.142024825512357,0.857142857142857,0,0
Polymer_66,C(F)(F)C(F)(F)CO,16.507,6.22025435704192,8,0.25,6.93688014792402,2.52875,0.293033333333333,0.135557960557961,0.875,0,6.74333333333333
Polymer_67,C(F)(F)C(F)(F)CN,16.384,4.85092524056255,8,0.25,6.23991925885725,3.2525,0.281833333333333,0.15147343873039,0.875,0,8.67333333333333
Polymer_68,C(F)(F)C(F)(F)CF,16.755875,134.047,8,0.25,7.47779761240656,0,1.8563,0.125334142928018,0.875,0,0
Polymer_69,C(F)(F)C(F)(F)OC,16.507,12.9086999022483,8,0.25,6.96497890295359,1.15375,0.74535,0.13498075998076,0.875,0,3.07666666666667
Polymer_70,C(F)(F)C(F)(F)NC,16.384,10.0592478894858,8,0.25,6.2383452241001,1.50375,0.354566666666667,0.151513568356654,0.875,0,4.01
Polymer_71,CC(F)C(F)O,16.0126666666667,4.52548280734809,6,0.166666666666667,5.14193355026546,3.37166666666667,0.210766666666667,0.182174790885492,0.833333333333333,0,10.115
Polymer_72,CC(F)C(F)N,15.8486666666667,3.51931902294597,6,0.166666666666667,4.60418139386251,4.33666666666667,0.199566666666667,0.204526911709612,0.833333333333333,0,13.01
Polymer_73,CC(F)C(F)F,16.3445,98.067,6,0.166666666666667,5.58023216114715,0,1.6095,0.167300917560843,0.833333333333333,0,0
Polymer_74,CC(F)C(F)Cl,19.087,114.522,6,0.166666666666667,5.13114386845289,0,1.8788,0.184544935163865,0.833333333333333,0,0
Polymer_75,CC(F)C(F)C,15.684,94.104,6,0.166666666666667,4.25040650406504,0,1.7024,0.222282974427995,0.833333333333333,0,0
Polymer_76,CC(F)C(F)CO,15.729,5.18619877531795,7,0.285714285714286,4.67492930476652,2.89,0.224933333333333,0.202981017614286,0.857142857142857,0,6.74333333333333
Polymer_77,CC(F)C(F)CN,15.5884285714286,4.03845299777942,7,0.285714285714286,4.27575586589552,3.71714285714286,0.213733333333333,0.222671836831065,0.857142857142857,0,8.67333333333333
Polymer_78,CC(F)C(F)CF,16.0134285714286,112.094,7,0.285714285714286,4.99505369635934,0,1.652,0.189585654411375,0.857142857142857,0,0
Polymer_79,CC(F)C(F)OC,15.729,10.7627565982405,7,0.285714285714286,4.69022364217253,1.31857142857143,0.6432,0.202289767153002,0.857142857142857,0,3.07666666666667
Polymer_80,CC(F)C(F)NC,15.5884285714286,8.37444359171144,7,0.285714285714286,4.27486807413705,1.71857142857143,0.286466666666667,0.222719966581607,0.857142857142857,0,4.01
Polymer_81,C1=CC=CN=C1O,13.5858571428571,2.78725087924971,3.5,0,3.53511660929752,4.73142857142857,0.1968,0.269526851957836,1,0.142857142857143,33.12
Polymer_82,C1=CC=CN=C1N,13.4452857142857,2.35823101979454,3.5,0,3.1743306778552,5.55857142857143,0.16595,0.301201677933492,1,0.142857142857143,38.91
Polymer_83,C1=CC=CN=C1F,13.8702857142857,6.99006479481642,3.5,0,3.85362175034729,1.84142857142857,0.61035,0.246656200301758,1,0.142857142857143,12.89
Polymer_84,C1=CC=CN=C1Cl,16.221,8.17473002159827,3.5,0,3.75399213145105,1.84142857142857,0.8675,0.25532750748601,1,0.142857142857143,12.89
Polymer_85,C1=CC=CN=C1C,13.3041428571429,6.70475161987041,3.5,0,3.10699272703009,1.84142857142857,0.69501,0.307811620223311,1,0.142857142857143,12.89
Polymer_86,C1=CC=CN=C1CO,13.641,3.19835873388042,4,0.111111111111111,3.50220476383032,4.14,0.143475,0.273861325003632,1,0.125,16.56
Polymer_87,C1=CC=CN=C1CN,13.518,2.70969681784014,4,0.111111111111111,3.26438946643967,4.86375,0.135075,0.294367074690317,1,0.125,19.455
Polymer_88,C1=CC=CN=C1CF,13.889875,7.99992800575954,4,0.111111111111111,3.69792671969117,1.61125,0.77555,0.259090787466888,1,0.125,6.445
Polymer_89,C1=CC=CN=C1OC,13.641,4.72006920415225,4,0.111111111111111,3.43288558935481,2.765,0.3634,0.279574676739794,1,0.125,11.06
Polymer_90,C1=CC=CN=C1NC,13.518,4.17222222222222,4,0.111111111111111,3.10904245379301,3.115,0.280825,0.309533277138459,1,0.125,12.46
Polymer_91,CCN(CC)CCO,14.649,4.78921127911729,8,0.5,3.26678523044673,2.93375,0.080125,0.295060579396237,0.875,0,4.694
Polymer_92,CCN(CC)CCN,14.526,3.8403172504957,8,0.5,3.0708411728643,3.6575,0.071725,0.314333492594362,0.875,0,5.852
Polymer_93,CCN(CC)CCF,14.897875,28.1091981132076,8,0.5,3.42844403532492,0.405,0.64885,0.280929915212634,0.875,0,0.648
Polymer_94,CCN(CC)CCCl,16.95475,31.9900943396226,8,0.5,3.43317809051331,0.405,0.7835,0.281824968164054,0.875,0,0.648
Polymer_95,CCN(CC)CCC,14.4025,27.1745283018868,8,0.5,2.94838660149953,0.405,0.8691,0.327645844088797,0.875,0,0.648
Polymer_96,CCN(CC)CCCO,14.5798888888889,5.3624438087454,9,0.555555555555556,3.24071147025991,2.60777777777778,0.17765,0.298677194654324,0.888888888888889,0,3.91166666666667
Polymer_97,CCN(CC)CCCN,14.4705555555556,4.30386649041639,9,0.555555555555556,3.0672830986778,3.25111111111111,0.16925,0.31591724768545,0.888888888888889,0,4.87666666666667
Polymer_98,CCN(CC)CCCF,14.8011111111111,31.4174528301887,9,0.555555555555556,3.38268156424581,0.36,0.8439,0.285969748900976,0.888888888888889,0,0.54
Polymer_99,CCN(CC)CCOC,14.5798888888889,9.74157386785449,9,0.555555555555556,3.22690832185717,1.38555555555556,0.324866666666667,0.29998714254381,0.888888888888889,0,2.07833333333333
Polymer_100,CCN(CC)CCNC,14.4705555555556,8.00460971112477,9,0.555555555555556,3.04895036135101,1.69666666666667,0.1369,0.317862612870042,0.888888888888889,0,2.545
