SAMPLE,SMILES,NumValenceElectrons,NumRadicalElectrons,NumSaturatedRings,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumHeterocycles,RingCount,MaxAbsPartialCharge,MinAbsPartialCharge,ExactMolWt
Polymer_64,C(F)(F)C(F)(F)Cl,44,0,0,0,0,0,0,0.380825207842695,0.201992468196637,135.970290592
Polymer_65,C(F)(F)C(F)(F)C,44,0,0,0,0,0,0,0.304298182353103,0.203602458681097,116.024913008
Polymer_66,C(F)(F)C(F)(F)CO,50,0,0,0,0,0,0,0.389874900588898,0.329387072397122,132.019827628
Polymer_67,C(F)(F)C(F)(F)CN,50,0,0,0,0,0,0,0.325041238111992,0.318870912768175,131.03581204
Polymer_68,C(F)(F)C(F)(F)CF,50,0,0,0,0,0,0,0.334599100972539,0.244231399031879,134.015491196
Polymer_69,C(F)(F)C(F)(F)OC,50,0,0,0,0,0,0,0.415734678789742,0.319324911732851,132.019827628
Polymer_70,C(F)(F)C(F)(F)NC,50,0,0,0,0,0,0,0.361816468026389,0.256291103092222,131.03581204
Polymer_71,CC(F)C(F)O,38,0,0,0,0,0,0,0.361854567350952,0.227201746156625,96.038671252
Polymer_72,CC(F)C(F)N,38,0,0,0,0,0,0,0.299272544101886,0.179344447069729,95.054655664
Polymer_73,CC(F)C(F)F,38,0,0,0,0,0,0,0.268538010909717,0.241511866956017,98.03433482
Polymer_74,CC(F)C(F)Cl,38,0,0,0,0,0,0,0.243190641214581,0.203573660168989,114.00478428
Polymer_75,CC(F)C(F)C,38,0,0,0,0,0,0,0.244610935684584,0.12807805509323,94.059406696
Polymer_76,CC(F)C(F)CO,44,0,0,0,0,0,0,0.393237549340868,0.153739621238439,110.054321316
Polymer_77,CC(F)C(F)CN,44,0,0,0,0,0,0,0.327668088602925,0.142978556447019,109.070305728
Polymer_78,CC(F)C(F)CF,44,0,0,0,0,0,0,0.247788426775332,0.158998862301941,112.049984884
Polymer_79,CC(F)C(F)OC,44,0,0,0,0,0,0,0.34926487441713,0.229374710787553,110.054321316
Polymer_80,CC(F)C(F)NC,44,0,0,0,0,0,0,0.288407249866778,0.181571333948046,109.070305728
Polymer_81,C1=CC=CN=C1O,36,0,0,0,0,1,1,0.493268447785082,0.210155665589058,95.03711378
Polymer_82,C1=CC=CN=C1N,36,0,0,0,0,1,1,0.38370281263385,0.122766265814137,94.053098192
Polymer_83,C1=CC=CN=C1F,36,0,0,0,0,1,1,0.228339100141914,0.212283632606358,97.032777348
Polymer_84,C1=CC=CN=C1Cl,36,0,0,0,0,1,1,0.244583591017359,0.128505307655541,113.003226808
Polymer_85,C1=CC=CN=C1C,36,0,0,0,0,1,1,0.261612424944918,0.0372146527339204,93.057849224
Polymer_86,C1=CC=CN=C1CO,42,0,0,0,0,1,1,0.390063967395768,0.0852464584960229,109.052763844
Polymer_87,C1=CC=CN=C1CN,42,0,0,0,0,1,1,0.325213252356391,0.0538954634743489,108.068748256
Polymer_88,C1=CC=CN=C1CF,42,0,0,0,0,1,1,0.258518785481987,0.131406005383459,111.048427412
Polymer_89,C1=CC=CN=C1OC,42,0,0,0,0,1,1,0.480984038361633,0.212365610864473,109.052763844
Polymer_90,C1=CC=CN=C1NC,42,0,0,0,0,1,1,0.373152298868742,0.125108484330175,108.068748256
Polymer_91,CCN(CC)CCO,50,0,0,0,0,0,0,0.395044574025786,0.0557971071204732,117.1153641
Polymer_92,CCN(CC)CCN,50,0,0,0,0,0,0,0.329198543867595,0.0104357889843421,116.131348512
Polymer_93,CCN(CC)CCF,50,0,0,0,0,0,0,0.301291638426835,0.102081463560509,119.111027668
Polymer_94,CCN(CC)CCCl,50,0,0,0,0,0,0,0.302702774185982,0.0350666375654709,135.081477128
Polymer_95,CCN(CC)CCC,50,0,0,0,0,0,0,0.303896249668793,0.002159882976545,115.136099544
Polymer_96,CCN(CC)CCCO,56,0,0,0,0,0,0,0.396325946227123,0.0442721718705357,131.131014164
Polymer_97,CCN(CC)CCCN,56,0,0,0,0,0,0,0.330424586290815,0.000695010074879,130.146998576
Polymer_98,CCN(CC)CCCF,56,0,0,0,0,0,0,0.303789513415278,0.0906191878181342,133.126677732
Polymer_99,CCN(CC)CCOC,56,0,0,0,0,0,0,0.383360329773396,0.0589165760969494,131.131014164
Polymer_100,CCN(CC)CCNC,56,0,0,0,0,0,0,0.318479075767923,0.0106470533315717,130.146998576
