POLYMER_NAME,SMILES,NumValenceElectrons,NumRadicalElectrons,NumSaturatedRings,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumHeterocycles,RingCount,MaxAbsPartialCharge,MinAbsPartialCharge,ExactMolWt
PCL,OCCCCCC(=O)O,54,0,0,0,0,0,0,0.481230389753162,0.302839568636333,132.078644244
PBS,OCCCC(=O)OCCCC(=O)O,76,0,0,0,0,0,0,0.481228808922067,0.305366483381707,190.084123548
PBAT,OCCCC(=O)OCC1=CC=CC=C1C(=O)O,92,0,0,0,0,0,1,0.477630344285844,0.335593432029413,238.084123548
PLA_Blends,CC(O)C(=O)OCC,48,0,0,0,0,0,0,0.464078219287178,0.334147689302956,118.06299418
PEKK,O=C1C=CC(=O)C=C1OC2=CC=CC=C2,74,0,0,0,0,0,2,0.453114938552038,0.220803273194942,200.047344116
PSF,O=S(=O)(c1ccccc1)c2ccccc2,76,0,0,0,0,0,2,0.218514325518306,0.206086626350025,218.04015056
PBI,C1=NC2=CC=CC=C2N1,44,0,0,0,0,1,2,0.34459658708457,0.0931370624373537,118.053098192
PBO,C1=NC2=CC=CC=C2O1,44,0,0,0,0,1,2,0.443481374432986,0.181478075002057,119.03711378
PI,O=C1NC(=O)C2=CC=CC=C2O1,60,0,0,0,0,1,2,0.419114537135566,0.409181567381922,163.02694302
PAA,CC(=O)O,24,0,0,0,0,0,0,0.481433475172105,0.299684553158214,60.021129368
PAN,C=CC#N,20,0,0,0,0,0,0,0.193121260786728,0.0905313753738047,53.026549096
PVAc,CC(=O)OCC,36,0,0,0,0,0,0,0.466171889974417,0.302112777726991,88.052429496
PHEMA,CC(O)CO,32,0,0,0,0,0,0,0.393700042197766,0.0742386440636602,76.052429496
PEG,OCCO,26,0,0,0,0,0,0,0.39399054157546,0.0662266396468173,62.036779432
PEO,OCCOCC,38,0,0,0,0,0,0,0.393980344880252,0.0697051984967968,90.06807956
PVP,C1=CC=CN=C1,30,0,0,0,0,1,1,0.264736970888988,0.0267287682952612,79.04219916
PVK,C1=CC=CC=N1,30,0,0,0,0,1,1,0.264736970888988,0.0267287682952612,79.04219916
PANI,C1=CC=CC=N1C,,,,,,,,,,
PEDOT,C1=CSC=C1O,32,0,0,0,0,1,1,0.507089679246106,0.125746766770302,99.998285748
PMI,C1=NC(=O)C=CN1,36,0,0,0,0,1,1,0.352385344464484,0.272053688770445,96.032362748
PBTL,OCCCCCC(=O)O,54,0,0,0,0,0,0,0.481230389753162,0.302839568636333,132.078644244
PHB,CC(O)C(=O)OCC,48,0,0,0,0,0,0,0.464078219287178,0.334147689302956,118.06299418
PHBV,CC(O)C(=O)OCCC,54,0,0,0,0,0,0,0.463795068827369,0.33415760546268,132.078644244
PLA_Copolymer,CC(O)C(=O)OCCC,54,0,0,0,0,0,0,0.463795068827369,0.33415760546268,132.078644244
PET_Copolymer,OCCOC(=O)C1=CC=CC=C1,64,0,0,0,0,0,1,0.459652350171747,0.337701525238305,166.06299418
Nylon_Copolymer,NCCCC(=O)NCCCC,66,0,0,0,0,0,0,0.3561064889783,0.219543180227551,158.141913196
TPU_Elastic,O=C(NCCCCN)OCCO,72,0,0,0,0,0,0,0.447119444260697,0.406708957945608,176.116092372
Silicone_PDMS,[Si](C)(C)O,25,1,0,0,0,0,0,0.431983938992313,0.199948964009895,75.026616374
Epoxy,C1OC1C2=CC=CC=C2,46,0,1,0,1,1,2,0.368047025492977,0.105957244590413,120.057514876
Phenolic,C1=CC=C(O)C=C1,36,0,0,0,0,0,1,0.507966994866307,0.11507481947528,94.041864812
Melamine_Formaldehyde,C1=NC(N)=NC(N)=N1,42,0,0,0,0,1,1,0.36764570234106,0.224285416597672,111.05449516
Urea_Formaldehyde,NC(=O)N,24,0,0,0,0,0,0,0.351846239505639,0.309056401422831,60.032362748
Polyimide_Modified,O=C1NC(=O)C2=CC=CC=C2,,,,,,,,,,
Polyamide_12,NCCCCCCCCCCCC(=O)O,90,0,0,0,0,0,0,0.481230389785217,0.302839556532184,215.18852904
Polyamide_11,NCCCCCCCCCCC(=O)O,84,0,0,0,0,0,0,0.481230389785217,0.302839556532184,201.172878976
Polyamide_6_10,NCCCCCC(=O)NCCCCCCCCCC(=O)O,124,0,0,0,0,0,0,0.481230389785217,0.302839556532184,300.241292884
Polyamide_4_6,NCCCC(=O)NCCCCCC(=O)O,88,0,0,0,0,0,0,0.481230389760159,0.302839565984305,216.1473925
Polycarbonate_Mod,O=C(Oc1ccccc1)OCC,64,0,0,0,0,0,1,0.513330628708671,0.434278676862988,166.06299418
PET_Recycled,OCCOC(=O)C1=CC=CC=C1C(=O)O,80,0,0,0,0,0,1,0.477620338124313,0.338590181052338,210.05282342
PLA_Reinforced,CC(O)C(=O)OCCO,54,0,0,0,0,0,0,0.461339322802061,0.334242026425509,134.0579088
ABS_Modified,C=CC1=CC=CC=C1C,46,0,0,0,0,0,1,0.098460183758595,0.0233238120063783,118.07825032
HIPS_Modified,C=CC1=CC=CC=C1C,46,0,0,0,0,0,1,0.098460183758595,0.0233238120063783,118.07825032
ASA_Modified,C=CC#NC,,,,,,,,,,
SAN_Modified,C=CC#NC,,,,,,,,,,
PEEK_Modified,O=C1C=CC(=O)C=C1OC2=CC=CC=C2OCC,92,0,0,0,0,0,2,0.489966713566716,0.220806996146639,244.073558864
PEI_Modified,O=C1NC(=O)C2=CC=CC=C2O1CC,,,,,,,,,,
PPS_Modified,C1=CC=C(SC)C=C1,42,0,0,0,0,0,1,0.129601826214669,0.00690689323816415,124.034671256
PSU_Modified,O=S(=O)(c1ccccc1)c2ccccc2C,82,0,0,0,0,0,2,0.218504050768214,0.206348702655085,232.055800624
PES_Modified,O=S(=O)(c1ccc(cc1))c2ccc(cc2)C,82,0,0,0,0,0,2,0.218514322849328,0.206086962131061,232.055800624
TPE_Modified,CCOCCOC,44,0,0,0,0,0,0,0.382297746198481,0.0699645105583222,104.083729624
TPO_Modified,CCCCOC,38,0,0,0,0,0,0,0.384690379119601,0.0461661336935367,88.088815004
EVA_Modified,CCOCCOC,44,0,0,0,0,0,0,0.382297746198481,0.0699645105583222,104.083729624
PCL_Modified,OCCCCCC(=O)OCC,66,0,0,0,0,0,0,0.465969207847374,0.305267437763822,160.109944372
PBS_Modified,OCCCC(=O)OCCCC(=O)OCC,88,0,0,0,0,0,0,0.465967626835839,0.305399533572208,218.115423676
PBAT_Modified,OCCCC(=O)OCC1=CC=CC=C1C(=O)OCC,104,0,0,0,0,0,1,0.46238242363775,0.338022311050451,266.115423676
PHB_Modified,CC(O)C(=O)OCCC,54,0,0,0,0,0,0,0.463795068827369,0.33415760546268,132.078644244
PHBV_Modified,CC(O)C(=O)OCCCC,60,0,0,0,0,0,0,0.463784202761289,0.334157774661087,146.094294308
